length (mm)
10
5.5
8.7
12.9
20.2
6
9.3
5.5
8
6
9.1
6.8
9.3
13.1
50.9
7.2
27.9
28.8
28.5
37.2
24.7
24.4
23.1
28.8
12.3
27
64
64.2
94
62.1
62.4
45.1
43.9
48.9
40.5
38.8
34.2
29.5
28.6
53.3
29.8
29
51.7
30.6
29
31.5
19.6
18.4
32.8
24
23
31
27.9
38.4
36.3
33.7
32.6
50
38
37
45
36.8
35.3
59
58.6
37.5
36.8
56.1
43.2
41.9
38
11.8
4.7
13.3
9.3
6.4
10.4
7.6
5.1
15
19.1
39
35
10
13
24
51
4.7
5.05
3.9
2.2
4.5
23.9
22.8
23
22
5
10
10.2
15.1
1.91
9.3
1.8
9
1.7
9.35
1.7
8.9
1.8
9
1.79
8.9
1.4
7.95
1.5
7.85
1.88
9.15
1.15
8.8
1.5
9.3
1.2
8.8
1.4
7.9
1.35
7.85
1.45
8.2
1.5
8.65
1.75
8.8
30.5
28
9.4
8.7
7.5
11
10
11
10.5
9
8
7
9
12.1
10.8
50
3.3
3.9
30.7
32
43.5
7.5
44
15.5
9
24
23
16.5
10.5
45
95
22.5
75
39
20
40
30
55
20
16.5
12.5
16
12
13.5
8
8.5
11
11
19.5
5.3
16
18
10
14
17
18.5
13.75
5
4
12.7
20.4
3.8
6.6
13
19
4
6.2
5.3
7.9
6.7
9.7
18.2
23.4
17.9
23.3
12.7
18.1
10.9
13.9
5.3
8.7
4.6
7.4
4.8
10.1
13.9
3.2
3.4
31
39
42
20.8
40
32
23
28
34.19
74
52
41.3
41.5
11
39.7
40.7
70
48.6
2.75
3.2
2.02
1.1
0.8
1.1
6
5
2.5
52
23
25
25
23
17
15
18
29.5
30
32
39.5
40
21
15.7
17
16.2
18
15.4
26
27
26
25
22
15
21
26
22
26
29
26
22.4
32
15
15
13
16
7.6
16.2
7
14.1
8.6
14.2
6
15
4.6
9
7.5
10
7.8
12
36.1
38
40
69
35
50
62
39.8
38.2
64.5
38.7
37
39.8
36.3
35.3
34.1
66.6
66.6
60.3
66
45.8
45.7
43.5
77
70
55
97
50
50.1
65
51.6
28.4
27.4
39.7
40
39
37.8
41.7
40.6
37
35.5
35
27.5
26.9
29.3
25
38
32.5
34
34.9
34.6
32
32
32.2
33
32.7
33.9
33
42.1
41
42
37.5
29.1
28.2
34
35.4
31.6
48
59
57
9
7.8
9
9.2
4
12
11
3.3
13.2
11.5
4.4
7.8
8.5
13
4.8
13.2
5.9
6.1
7.8
7.5
0.6
31
29
18
33.8
16.8
21.6
17.2
23
23.3
22
33.8
19.5
19.6
18.8
46
7.5
10
7.6
7.7
7.5
8
7.7
4.8
5.7
11.1
8.2
10
4.9
4.8
3.4
5
5.8
4.7
5.5
5.5
13.6
14.7
10.8
11.5
4.4
6.5
5.3
25.5
6.4
7
6.6
4.8
6.7
7.7
4
4.7
6.6
6.7
7.1
7.4
5.8
11.4
12.7
10.4
8.2
7.2
6
6.6
5.6
7.2
14.3
13.7
6.3
8.3
5.5
12.8
11.1
10.5
8.8
9.9
39.4
36.2
33.9
36
34.7
35
34
36.1
35.6
36.3
33.3
36.5
36
34
32
34
34.8
36.2
35.1
36
35.5
17.4
16.8
32
34.2
34.5
34.2
34
25.1
24.2
9.9
9.1
8.9
9
18.8
9.8
18.3
10.4
21.2
10.5
11
19
29.7
39.5
27.7
38.7
30
29
43.6
44.5
77
39.3
39
40.5
90
5.8
2.25
3.5
1.8
2.6
3.9
2.2
10.2
41
32
15
9.7
40
38.6
65
31
32
25
25
36
26.6
53
52
50.5
47.8
68.7
71
67.5
17
26
39
21
29
13
38
37
30
36
43
39
40
40.7
40.5
48.5
46
62.9
60.5
60
60
36
35
35
85
83
80
75
85
34.5
45
38
36.3
37
34
37
62.3
37.4
42
33
31.5
52.4
56
50
87
96
44.5
66
63
38.8
38.8
35.4
43.5
23.5
47.8
31.5
40
60
45
30
35
28
8
11.5
5.3
2.3
1.8
12.5
12.4
12
44
23
24
8
9
9.1
7
12
18
11.8
10.5
9.5
10
40
41
7.5
9.5
10
16
13
12
19.4
13.7
4.5
0.98
0.28
0.41
5
5.6
19
16
4
6.3
9.6
14
3.7
6
10.2
16
9.6
4.5
8
7.3
10
8
5
7
2.05
1.59
11.3
20.7
7.8
15.5
5
4.1
4.2
14.2
16.1
11.3
14.8
14.8
14.2
10.9
2.7
6.4
4.2
9.8
3.3
2.3
2.77
3.15
0.41
0.55
0.38
0.45
0.38
0.43
0.48
4.25
8.31
14.2
47.8
45
83.6
19.3
24
6.5
7.1
9.4
3.2
5
3.3
5.4
3.2
4.5
6.2
6.4
2.2
36
23.8
4.3
9
6.8
11
6.5
4.4
5.3
9.8
4.3
7
4.3
6.1
13
3.1
6
15
7.3
13
12.1
10.5
7
10
22
10
5
35
34
7.5
4.5
2.7
4.3
2.5
4
6.6
2.2
8
10.5
13
12
14
6.5
2.8
3.1
3.5
2.8
3.2
3
4.5
3
4.8
3.5
2.1
5.8
7.8
9
9.5
13
25.8
34.7
22
28
10
14
9.8
13.8
10.3
13.7
7.8
12.6
9.3
14.2
6.2
8.2
8.6
8.2
5.29
1.34
1.56
1.45
0.68
0.16
0.75
0.38
0.83
0.95
5.4
10.2
9.2
6.4
10
6.3
10
5.9
9.8
6.5
5.9
9.8
5.3
9
5.45
8
5.7
9.1
5.5
8.7
5.6
8.6
8.5
5.2
4.4
7
4.8
7.6
5.7
9
5.6
8.3
5.8
9.1
3.8
6.1
6.2
9.2
2.9
4.9
2
2
1.6
0.8
0.9
5
2.5
1.23
1.33
0.38
1.73
2.2
0.66
0.53
2.66
1.2
1.39
1.4
0.33
0.29
1.72
1.97
1.29
0.36
1.05
2.4
0.88
0.24
0.94
0.32
1.76
1.61
7.2
0.63
3.52
1.26
2.95
0.52
0.46
3.1
2.8
1.95
8
13
8
12
8
13
9.7
15
8
12.1
5.2
5.7
5.2
5
3.4
3.3
3
2.5
2.5
2.5
3.3
2.9
2.8
4.6
3.7
6.6
1.9
18.5
2.4
1.9
2.2
2.7
2.4
1.8
1.6
2.5
4.1
3.4
4.8
4.6
2.7
3.8
4.6
7.2
4.1
6.6
5.3
4.9
2.8
7.3
3.3
2.2
5.1
4
7.1
5.2
2.4
7.5
6.6
4
4.46
3.39
1.96
3.39
3.95
8.9
4.5
2.4
2.6
60
45
57
36.5
41
46
40.5
8
12
6.8
10
15
19
5.4
5.1
4.5
6
5.3
3.8
9.9
3.4
4
4
4
7.1
2.9
3.7
5
8
6.1
2.8
3.9
6.2
4.3
7.9
10
6
8
8.5
10
7
10
11
15
9
12
6
7
1.6
5.8
28
28.95
28.05
2.8
0.6
2.6
1.1
5
4.9
1.1
1.3
3.8
2.3
4.1
1
7.5
1.3
1.1
1.1
1.3
0.9
0.65
1.41
0.83
1.47
25
12
4
5.1
8.1
47
36
38
38
22
4.5
4
3
2.5
3
2.5
2
2.2
1.7
0.8
1.7
0.96
0.62
0.83
1.11
0.63
0.8
1.75
1.05
1.7
2
1.1
1.8
1.1
5
2
10
7
5
3.5
8.5
10
4.5
10
8
6
2
1.3
2.9
10
22
5
0.96
1.33
1.33
1.27
3.6
5
17.7
3.6
20
10
4.9
3
12
8
20
14.5
9
7
11
7
