length (mm)
50
10.7
6.9
10.3
5.6
12.1
7.6
23
3.8
5.3
4.2
4.9
3.4
35.2
32.3
28.7
25.2
10.9
9.8
39.8
54.4
3.8
36.6
69.8
49
38
7.1
6.2
5.4
7.7
6
8.1
3.4
4.94
19.7
23
13.6
8.6
5.5
12.5
24
30
45
17.5
21
46.3
15.5
22.5
5.5
7
4.6
5.3
5.8
20
31
26
24
30
17
51
46
45
41
21
22.1
51.2
33.8
21
34.5
60.1
21.2
61.1
57.1
53
53
56.8
57
51
50
42
42
48.5
47.1
50
46.4
43.5
47
46.1
50
42.9
32.5
32.6
26.8
25
33
29
34.9
25.1
29.2
24
33
34.1
34.7
34
25.1
31.9
34
34.7
37.5
34.7
33.2
32.7
36.7
22
56
35
35
32.8
20.9
48
30
36
39
51
29
30
20.5
20.1
21
20.8
21
22
18.9
19.4
20
22
29.4
26
35
30
34.1
27
35
27
18.2
18.7
15.4
13.8
25.8
41
24
25
40
36
20
21
42
52
45
3.68
4.89
6.67
5.9
6.95
8.2
8.38
6.67
9.1
7.1
9.3
7.8
10.9
8
12
25
21
9.8
10.8
14.9
11
15.5
8.3
14
8.5
12.8
9.8
82
71
19
65.4
68.7
86.6
71.5
64
39
58
56
68
76
8
7
4
5.5
1
8
7
8.2
7
7
7.5
7.5
16
15
9
13
14
2.7
3.2
4.7
3.2
3.7
3.7
5.1
2.3
3.5
3.7
2.7
3
2.6
2.2
3
3.8
3.3
4.2
5.6
4.7
4.8
4.1
4.3
4.5
4.2
4.3
4.3
4
4.3
4.5
5
5
4.8
3.8
4.5
2.8
2.7
3.8
4.5
4.5
3
3.2
4
3.8
4.2
4.5
4.7
3.7
4
4
3.8
4
4.5
4.5
2.8
3.6
2.7
4
27.3
50
37
51
50
48
23.9
42
43
32
21
35
39.4
34.3
84
54
55
78
48
27
44.2
50
50
46.3
85
49
45.6
34
33
54
46
45
46
44.5
71
67
64
92
64.7
61.5
94
67.3
65
103
64.5
67.5
72.1
67
65
61
58
63.5
62.5
63
63.9
67.5
65
67.5
96
68.5
66.5
50
58
65
63
60
65.6
62.7
69
67
62.8
60.8
89
76
108.5
80
91
76
34
11
21
110
65
49.5
47
41.7
47.5
50
49
47.5
68
